shard_id,year,month,family,query,query_slug,start_ts,end_ts,start_date,end_date
doomer-2015-10-p-doom,2015,10,doomer,p(doom),p-doom,1443657600,1446336000,2015-10-01,2015-11-01
accelerationist-2015-10-e-acc,2015,10,accelerationist,e/acc,e-acc,1443657600,1446336000,2015-10-01,2015-11-01
accelerationist-2015-10-accelerationism,2015,10,accelerationist,accelerationism,accelerationism,1443657600,1446336000,2015-10-01,2015-11-01
accelerationist-2015-10-techno-optimism,2015,10,accelerationist,techno-optimism,techno-optimism,1443657600,1446336000,2015-10-01,2015-11-01
accelerationist-2015-10-abundance-agenda,2015,10,accelerationist,abundance agenda,abundance-agenda,1443657600,1446336000,2015-10-01,2015-11-01
accelerationist-2015-10-abundance,2015,10,accelerationist,abundance,abundance,1443657600,1446336000,2015-10-01,2015-11-01
broad_ai-2015-11-artificial-intelligence,2015,11,broad_ai,artificial intelligence,artificial-intelligence,1446336000,1448928000,2015-11-01,2015-12-01
broad_ai-2015-11-machine-learning,2015,11,broad_ai,machine learning,machine-learning,1446336000,1448928000,2015-11-01,2015-12-01
broad_ai-2015-11-deep-learning,2015,11,broad_ai,deep learning,deep-learning,1446336000,1448928000,2015-11-01,2015-12-01
broad_ai-2015-11-neural-network,2015,11,broad_ai,neural network,neural-network,1446336000,1448928000,2015-11-01,2015-12-01
foundation_models-2015-11-gpt,2015,11,foundation_models,gpt,gpt,1446336000,1448928000,2015-11-01,2015-12-01
foundation_models-2015-11-llm,2015,11,foundation_models,llm,llm,1446336000,1448928000,2015-11-01,2015-12-01
foundation_models-2015-11-chatgpt,2015,11,foundation_models,chatgpt,chatgpt,1446336000,1448928000,2015-11-01,2015-12-01
foundation_models-2015-11-openai,2015,11,foundation_models,openai,openai,1446336000,1448928000,2015-11-01,2015-12-01
foundation_models-2015-11-claude,2015,11,foundation_models,claude,claude,1446336000,1448928000,2015-11-01,2015-12-01
foundation_models-2015-11-gemini,2015,11,foundation_models,gemini,gemini,1446336000,1448928000,2015-11-01,2015-12-01
doomer-2015-11-ai-safety,2015,11,doomer,ai safety,ai-safety,1446336000,1448928000,2015-11-01,2015-12-01
doomer-2015-11-alignment,2015,11,doomer,alignment,alignment,1446336000,1448928000,2015-11-01,2015-12-01
doomer-2015-11-misalignment,2015,11,doomer,misalignment,misalignment,1446336000,1448928000,2015-11-01,2015-12-01
doomer-2015-11-existential-risk,2015,11,doomer,existential risk,existential-risk,1446336000,1448928000,2015-11-01,2015-12-01
doomer-2015-11-x-risk,2015,11,doomer,x-risk,x-risk,1446336000,1448928000,2015-11-01,2015-12-01
doomer-2015-11-p-doom,2015,11,doomer,p(doom),p-doom,1446336000,1448928000,2015-11-01,2015-12-01
accelerationist-2015-11-e-acc,2015,11,accelerationist,e/acc,e-acc,1446336000,1448928000,2015-11-01,2015-12-01
accelerationist-2015-11-accelerationism,2015,11,accelerationist,accelerationism,accelerationism,1446336000,1448928000,2015-11-01,2015-12-01
